pof_vintage,weight_reference_month,effective_from,sidra_area_level,sidra_area_code,area_name,snipc_subgroup_code,sidra_category_id,snipc_subitem_code,subitem_name,weight_pct_total_ipca,source_sheet,source_row,source_url,source_archive_sha256
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107615,1108029,Peixe-cação,0.0209,SP,58,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107616,1108031,Peixe-merluza,0.0279,SP,59,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7320,1108038,Peixe-pescada,0.0212,SP,60,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12431,1108075,Peixe-salmão,0.0250,SP,61,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12302,1108080,Peixe-tilápia,0.0366,SP,62,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7336,1109002,Presunto,0.1054,SP,64,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12304,1109007,Salsicha,0.0647,SP,65,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7339,1109008,Linguiça,0.3486,SP,66,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7341,1109010,Mortadela,0.0677,SP,67,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107617,1110009,Frango inteiro,0.1331,SP,69,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107618,1110010,Frango em pedaços,0.5283,SP,70,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7355,1110044,Ovo de galinha,0.1964,SP,71,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12393,1111004,Leite longa vida,0.6890,SP,73,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7359,1111009,Leite em pó,0.0872,SP,74,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107619,1111011,Queijo,0.5234,SP,75,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
